,Name,_step,_runtime,_timestamp,train_loss,train_accuracy,trainer/global_step,val_loss,val_accuracy,epoch,_wandb,test_accuracy,test_loss,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels,sanity_check_equivariance
0,frosty-sweep-30,26142,1191.0526342391968,1722231171.3379493,2.080810785293579,0.265625,26030,,,,,,,False,0.8182644250432705,0.991289980272216,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.8981520267150955e-05,6,2.993896026586476e-07,32,False
1,earthy-sweep-29,90239,3149.22890996933,1722230911.981086,0.2765396237373352,0.9453125,89855,,,,,,,False,0.8679990923462132,0.9987761573223668,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.564705181059112e-05,6,1.5357020456617847e-05,32,False
2,frosty-sweep-28,33607,1175.5844736099243,1722227748.0383637,0.2753225862979889,0.8984375,33462,0.2061888873577118,0.9539596438407898,143.0,{'runtime': 1174},0.650600016117096,1.1957576274871826,False,0.8914310464124415,0.9931740540801132,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.6351122691886642e-05,6,4.670900261524378e-05,32,False
3,ethereal-sweep-27,84062,4625.007284879684,1722230819.6870558,0.63565593957901,0.8046875,83705,0.6845259666442871,0.7609508633613586,357.0,,,,False,0.8474105128673183,0.9967482460793978,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.5376966181955923e-06,6,5.820146481831345e-06,32,False
4,unique-sweep-26,82722,3818.49349451065,1722229963.7028885,0.33323195576667786,0.875,82368,0.20009596645832065,0.960770547389984,352.0,{'runtime': 3817},0.6177999973297119,1.3494176864624023,False,0.8577667766451942,0.9948301434731052,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,5.526880001281954e-06,6,1.8491131895268033e-05,32,False
5,lemon-sweep-25,76612,3527.426638364792,1722226127.9928594,1.833662509918213,0.3671875,76284,1.8082780838012695,0.34969285130500793,326.0,{'runtime': 3526},0.3264000117778778,1.8305771350860596,False,0.8040190687458185,0.9920731056091222,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,0.00010201551485830872,6,2.1974854500661282e-07,32,False
6,devout-sweep-24,1647,89.50485873222351,1722222584.4361176,2.3343772888183594,0.109375,1638,2.329772472381592,0.10600294172763824,7.0,{'runtime': 88},0.10890000313520432,2.3307063579559326,False,0.8004938490597365,0.9929216532943408,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.4160849740337995e-05,6,1.3308577554735593e-08,32,False
7,true-sweep-23,942,56.36876320838928,1722222482.3505542,2.337231159210205,0.09375,936,2.3245937824249268,0.10954193025827408,4.0,{'runtime': 55},0.11029999703168868,2.324619770050049,False,0.8697578439312565,0.9954590220765824,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.15044260980479e-06,6,3.5624362052243864e-10,32,False
8,dainty-sweep-22,127842,4464.920804738998,1722226556.9241295,1.154221534729004,0.6171875,127296,1.0179376602172852,0.6398237347602844,544.0,{'runtime': 4463},0.5874000191688538,1.149592399597168,False,0.8112301269110256,0.9923034362438444,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,0.00010770193774186274,6,1.4286568041407017e-06,32,False
9,giddy-sweep-21,94941,5224.356470108032,1722226179.81679,2.1780076026916504,0.265625,94536,2.1902318000793457,0.20599626004695892,404.0,{'runtime': 5223},0.20900000631809235,2.1927928924560547,False,0.8784294468933277,0.9909008225834324,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.6499426893181546e-05,6,4.335655871282422e-08,32,False
10,dry-sweep-20,15041,836.596657037735,1722220936.415599,0.6639342904090881,0.75,14976,0.494219034910202,0.8383747339248657,64.0,{'runtime': 835},0.6680999994277954,0.997704803943634,False,0.8335677780586545,0.99824548739619,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.2792089336271248e-06,6,5.303969973738006e-05,32,False
11,stellar-sweep-19,62512,2845.263250350952,1722222407.9924924,0.292749285697937,0.9140625,62244,0.20123252272605896,0.9583666920661926,266.0,{'runtime': 2844},0.6391000151634216,1.296329140663147,False,0.884762981918331,0.9963558351346196,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,0.00040262728651848913,6,2.4046968151687424e-05,32,False
12,rich-sweep-18,942,54.6788272857666,1722219548.5560582,2.2988650798797607,0.1171875,936,2.324446678161621,0.1085403338074684,4.0,{'runtime': 53},0.10189999639987946,2.3260481357574463,False,0.8951886171295835,0.99084237543342,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,0.00014754444135857438,6,3.1953530773722935e-10,32,False
13,gentle-sweep-17,86717,3035.6315174102783,1722222078.499535,1.5846258401870728,0.3984375,86346,1.4486006498336792,0.4771968424320221,369.0,{'runtime': 3034},0.4702999889850617,1.4857579469680786,False,0.8290322426166747,0.9914757837881524,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,4.9732746525741416e-05,6,5.606125832981606e-07,32,False
14,divine-sweep-16,15747,718.0571527481079,1722219476.7730277,0.384831577539444,0.859375,15678,0.3253626227378845,0.8973691463470459,67.0,{'runtime': 716},0.6474999785423279,1.1696889400482178,False,0.8636635076247904,0.9913481200007592,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,7.482390225656525e-05,6,9.3538941441431e-05,32,False
15,fragrant-sweep-15,68152,3115.3047800064087,1722218744.697882,2.1836295127868652,0.2578125,67860,2.193533182144165,0.21597890555858612,290.0,{'runtime': 3114},0.21060000360012057,2.196645021438598,False,0.8929894302577802,0.9950197158661668,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,7.284073420677993e-05,6,5.9343657350333944e-08,32,False
16,expert-sweep-14,4232,208.02374744415283,1722215615.2729404,2.2892141342163086,0.0859375,4212,2.316051959991455,0.104133278131485,18.0,{'runtime': 206},0.10670000314712524,2.3170931339263916,False,0.8403891946865762,0.9963565030831156,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,3.3238890636287736e-06,6,2.4135421831590543e-08,32,False
17,hearty-sweep-13,2117,107.56707215309144,1722215393.1805782,2.3525755405426025,0.0703125,2106,2.327575922012329,0.09688835591077805,9.0,{'runtime': 106},0.0949999988079071,2.330003261566162,False,0.8738258858121273,0.994161721837509,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,4.907638606258973e-06,6,1.03651023269375e-09,32,False
18,restful-sweep-12,101991,5635.418011188507,1722220085.7873492,0.29984793066978455,0.90625,101556,0.23049211502075195,0.948851466178894,434.0,{'runtime': 5634},0.6291000247001648,1.2887457609176636,False,0.8056828481598419,0.9948645851393576,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,4.106192211677414e-06,6,1.3604285613444711e-05,32,False
19,trim-sweep-11,139592,4896.084217309952,1722219029.0395124,0.5365970730781555,0.8046875,138996,0.5686395168304443,0.8156049847602844,594.0,{'runtime': 4894},0.6434999704360962,1.0511398315429688,False,0.8131194879191352,0.992291247413834,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,3.967763763350828e-06,6,4.584346620312976e-06,32,False
20,fanciful-sweep-10,1412,58.88850140571594,1722214117.7239964,2.3206162452697754,0.109375,1404,2.3353946208953857,0.08874198794364929,6.0,{'runtime': 57},0.0892999991774559,2.334726333618164,False,0.886634474248664,0.992024768943032,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,8.60277296958846e-06,6,5.512240858314346e-09,32,False
21,polished-sweep-9,45592,1605.0640358924866,1722214046.802533,2.2067153453826904,0.1484375,45396,2.189341306686402,0.20589609444141388,194.0,{'runtime': 1604},0.19769999384880063,2.1985020637512207,False,0.8365414847571369,0.9905594177981648,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,0.00013170916504588032,6,6.987471198856079e-08,32,False
22,scarlet-sweep-8,942,41.80631446838379,1722212430.5896344,2.325575113296509,0.1328125,936,2.315995931625366,0.09925881773233414,4.0,{'runtime': 40},0.10369999706745148,2.3145132064819336,False,0.8461852537786638,0.9952416882532928,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,6.285207058758107e-05,6,3.144735754855104e-09,32,False
23,sunny-sweep-7,87892,4015.279413700104,1722215274.2271338,0.3172059953212738,0.921875,87516,0.36588528752326965,0.897536039352417,374.0,{'runtime': 4013},0.6464999914169312,1.1245324611663818,False,0.8932235479782488,0.9958269396986578,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,6.362966533107319e-06,6,1.2011746867912274e-05,32,False
24,tough-sweep-6,64862,2268.556078672409,1722212375.5608988,0.3433825671672821,0.90625,64584,0.34112784266471863,0.9067507982254028,276.0,{'runtime': 2267},0.6474000215530396,1.115514039993286,False,0.8538308093558966,0.9904720275684332,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.1655314755478838e-05,6,1.7152840786336825e-05,32,False
25,warm-sweep-5,35957,1259.8648526668549,1722210089.4701908,2.1486833095550537,0.25,35802,2.1676130294799805,0.2233239859342575,153.0,{'runtime': 1258},0.21719999611377716,2.1735920906066895,False,0.8198103233594604,0.9906484872388236,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,6.702904883908422e-06,6,1.086024214994366e-07,32,False
26,misunderstood-sweep-4,117031,6464.67578291893,1722214433.7299628,0.3279781639575958,0.890625,116532,0.2499902695417404,0.9383680820465088,498.0,{'runtime': 6463},0.6385999917984009,1.2544713020324707,False,0.8562326773978725,0.9936792169004852,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.218101620929402e-06,6,1.1721070707236177e-05,32,False
27,dazzling-sweep-3,2351,143.16817235946655,1722207951.2810123,2.330634117126465,0.1015625,2340,2.3259572982788086,0.10279780626296996,10.0,{'runtime': 148},0.10360000282526016,2.3304171562194824,False,0.852675006491898,0.9967328405038756,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,4.347483869967597e-06,6,2.021647095826378e-09,32,False
28,fresh-sweep-2,67917,3117.887804746628,1722211241.3494337,1.9645198583602903,0.3125,67626,1.9522830247879028,0.302116721868515,289.0,{'runtime': 3122},0.28850001096725464,1.9693689346313477,False,0.8842143908664772,0.9973704248668024,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,2.5888540887477156e-06,6,1.6786934807811737e-07,32,False
29,dark-sweep-1,28907,1017.8144288063048,1722208815.707646,0.2128312885761261,0.9375,28782,0.2198358178138733,0.94511216878891,123.0,{'runtime': 1019},0.6589999794960022,1.20842707157135,False,0.8193023493701751,0.9967081927623742,trivial,-1,trivial,cifar10,0,3,30000,True,128,-1,False,True,1.870646049144171e-05,6,5.1253888811426624e-05,32,False
