,Name,_wandb,_runtime,val_loss,train_loss,test_accuracy,train_accuracy,epoch,test_loss,_timestamp,val_accuracy,trainer/global_step,_step,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels
0,magic-sweep-200,{'runtime': 600},601.5956380367279,0.08607903867959976,0.10513362288475037,0.964900016784668,0.9453125,27,0.1209140345454216,1715645286.1858091,0.9715544581413268,12636,12663,False,0.9,0.999,translateW,50,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
1,graceful-sweep-199,{'runtime': 599},600.4012010097504,0.10240790992975236,0.12934674322605133,0.9592999815940856,0.9765625,32,0.12624165415763855,1715645073.181192,0.966003954410553,14976,15009,False,0.9,0.999,translateW,50,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
2,dulcet-sweep-198,{'runtime': 641},642.657422542572,0.16441011428833008,0.08144403249025345,0.9430000185966492,0.9765625,29,0.1763237565755844,1715644670.4798017,0.946380853652954,13572,13601,False,0.9,0.999,translateW,50,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
3,curious-sweep-197,{'runtime': 574},576.149983882904,0.2953736186027527,0.2609112858772278,0.9025999903678894,0.921875,31,0.3102290630340576,1715644456.0376148,0.9125934839248656,14508,14540,False,0.9,0.999,translateW,50,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
4,serene-sweep-196,{'runtime': 646},647.9701552391052,0.08503611385822296,0.07674034684896469,0.9621999859809875,0.9921875,29,0.11755623668432236,1715644008.1804905,0.97193843126297,13572,13601,False,0.9,0.999,translateW,49,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
5,playful-sweep-195,{'runtime': 343},344.4876379966736,0.13334450125694275,0.1098206266760826,0.94650000333786,0.96875,19,0.1620079129934311,1715643864.347371,0.9566890597343444,8892,8912,False,0.9,0.999,translateW,49,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
6,denim-sweep-194,{'runtime': 289},290.58606600761414,0.2149658203125,0.259033739566803,0.9280999898910522,0.9140625,13,0.2314581274986267,1715643343.378296,0.9317073822021484,6084,6097,False,0.9,0.999,translateW,49,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
7,proud-sweep-193,{'runtime': 548},550.111252784729,0.3155314326286316,0.2901376783847809,0.8967000246047974,0.8984375,30,0.32491880655288696,1715643507.5354855,0.9004991054534912,14040,14071,False,0.9,0.999,translateW,49,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
8,leafy-sweep-192,{'runtime': 553},554.3949320316315,0.08865822851657867,0.07221835106611252,0.964299976825714,0.96875,25,0.1149456575512886,1715643033.588699,0.9708032608032228,11700,11725,False,0.9,0.999,translateW,48,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
9,genial-sweep-191,{'runtime': 626},627.3936116695404,0.09667681902647018,0.034911807626485825,0.9595999717712402,0.9921875,34,0.1270965039730072,1715642939.7560616,0.9669888615608216,15912,15947,False,0.9,0.999,translateW,48,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
10,magic-sweep-190,{'runtime': 571},572.9556562900543,0.17194247245788574,0.12021774798631668,0.9366999864578248,0.9765625,26,0.19315798580646515,1715642464.1594932,0.947081983089447,12168,12194,False,0.9,0.999,translateW,48,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
11,lyric-sweep-189,{'runtime': 416},417.9560620784759,0.3679526746273041,0.1934068351984024,0.883400022983551,0.953125,23,0.37694400548934937,1715642296.2759302,0.8914262652397156,10764,10788,False,0.9,0.999,translateW,48,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
12,amber-sweep-188,{'runtime': 818},820.2040238380432,0.0673048347234726,0.0714210495352745,0.965399980545044,0.984375,37,0.10865311324596404,1715641874.8582518,0.976120114326477,17316,17353,False,0.9,0.999,translateW,47,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
13,pleasant-sweep-187,{'runtime': 713},714.2048919200897,0.10271281003952026,0.1933777630329132,0.958199977874756,0.9375,38,0.13126680254936218,1715641861.873421,0.9657785892486572,17784,17823,False,0.9,0.999,translateW,47,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
14,curious-sweep-186,{'runtime': 424},425.165424823761,0.16878816485404968,0.14065513014793396,0.9388999938964844,0.9296875,23,0.1842675656080246,1715641134.3901608,0.9435346722602844,10764,10788,False,0.9,0.999,translateW,47,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
15,celestial-sweep-185,{'runtime': 732},733.4102382659912,0.2455919086933136,0.3466656506061554,0.911300003528595,0.8828125,33,0.27288883924484253,1715641039.0946944,0.9194210767745972,15444,15477,False,0.9,0.999,translateW,47,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
16,laced-sweep-184,{'runtime': 631},632.330408334732,0.06949999928474426,0.10693306475877762,0.9659000039100648,0.9609375,34,0.10851029306650162,1715640691.1514232,0.9760867357254028,15912,15947,False,0.9,0.999,translateW,46,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
17,lucky-sweep-183,{'runtime': 745},747.1172244548798,0.10263843834400176,0.10930366069078444,0.961899995803833,0.9765625,33,0.12265102565288544,1715640290.091267,0.9652944803237916,15444,15477,False,0.9,0.999,translateW,46,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
18,mild-sweep-182,{'runtime': 276},277.4709279537201,0.22036242485046387,0.2000432312488556,0.9229999780654908,0.9296875,15,0.23478014767169952,1715640045.165244,0.9311147928237916,7020,7036,False,0.9,0.999,translateW,46,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
19,rich-sweep-181,{'runtime': 488},489.5809593200683,0.27987292408943176,0.16445815563201904,0.9074000120162964,0.921875,22,0.29588446021080017,1715639529.1895473,0.9110994338989258,10296,10318,False,0.9,0.999,translateW,46,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
20,light-sweep-180,{'runtime': 723},725.0343055725098,0.0695173367857933,0.10330308228731155,0.9667999744415284,0.96875,38,0.1034831553697586,1715639751.8041725,0.9760199785232544,17784,17823,False,0.9,0.999,translateW,45,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
21,elated-sweep-179,{'runtime': 333},334.3973352909088,0.1305290013551712,0.15225829184055328,0.953499972820282,0.953125,18,0.14801864326000214,1715639011.7145202,0.9567474722862244,8424,8443,False,0.9,0.999,translateW,45,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
22,treasured-sweep-178,{'runtime': 726},727.5658082962036,0.14083611965179443,0.1444324105978012,0.9490000009536744,0.9453125,33,0.15886637568473816,1715639024.9102564,0.9530165195465088,15444,15477,False,0.9,0.999,translateW,45,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
23,fast-sweep-177,{'runtime': 220},221.44515419006348,0.3992907106876374,0.2729896903038025,0.8684999942779541,0.8984375,12,0.3973544538021088,1715638660.5576231,0.8784137964248657,5616,5629,False,0.9,0.999,translateW,45,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
24,giddy-sweep-176,{'runtime': 267},268.28404688835144,0.12416286766529085,0.1590423285961151,0.9523000121116638,0.9453125,14,0.14417904615402222,1715638426.768385,0.9619224071502686,6552,6567,False,0.9,0.999,translateW,44,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
25,eternal-sweep-175,{'runtime': 602},604.0159108638763,0.11531997472047806,0.12620480358600616,0.9556000232696532,0.9375,27,0.13929273188114166,1715638281.8053098,0.961822271347046,12636,12663,False,0.9,0.999,translateW,44,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
26,vivid-sweep-174,{'runtime': 403},404.63495922088623,0.1758817732334137,0.13970303535461426,0.9402999877929688,0.953125,22,0.19366231560707092,1715638144.632023,0.9433426856994628,10296,10319,False,0.9,0.999,translateW,44,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
27,fearless-sweep-173,{'runtime': 547},549.262120962143,0.3146427869796753,0.2339209020137787,0.8894000053405762,0.9296875,25,0.33504465222358704,1715637660.364334,0.9018429517745972,11700,11725,False,0.9,0.999,translateW,44,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
28,dark-sweep-172,{'runtime': 645},646.9067261219025,0.07490340620279312,0.07646991312503815,0.9682000279426576,0.984375,34,0.10425890237092972,1715637725.5090742,0.9746427536010742,15912,15947,False,0.9,0.999,translateW,43,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
29,gallant-sweep-171,{'runtime': 380},381.2355122566223,0.14420658349990845,0.20186853408813477,0.9509000182151794,0.9375,17,0.1573636680841446,1715637095.430302,0.9544270634651184,7956,7973,False,0.9,0.999,translateW,43,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
30,olive-sweep-170,{'runtime': 536},537.3652181625366,0.1724979728460312,0.15879172086715698,0.9434000253677368,0.9609375,29,0.18026115000247955,1715637064.9841132,0.9451538920402528,13572,13602,False,0.9,0.999,translateW,43,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
31,breezy-sweep-169,{'runtime': 924},926.0678977966307,0.3164573311805725,0.26762738823890686,0.8956999778747559,0.90625,42,0.3238508403301239,1715636697.4984329,0.8991886973381042,19656,19698,False,0.9,0.999,translateW,43,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
32,crimson-sweep-168,{'runtime': 583},585.0848429203033,0.07761635631322861,0.0772109255194664,0.9648000001907348,0.96875,31,0.11265022307634354,1715636514.734053,0.9731403589248656,14508,14540,False,0.9,0.999,translateW,42,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
33,daily-sweep-167,{'runtime': 554},555.9837300777435,0.11078139394521712,0.05396164581179619,0.9531999826431274,0.984375,25,0.14199692010879517,1715635755.161418,0.9623814821243286,11700,11725,False,0.9,0.999,translateW,42,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
34,silver-sweep-166,{'runtime': 697},698.6863796710968,0.12989258766174316,0.05448594316840172,0.9491999745368958,0.984375,39,0.16198526322841644,1715635913.538107,0.95780748128891,18252,18292,False,0.9,0.999,translateW,42,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
35,sweepy-sweep-165,{'runtime': 309},311.20004320144653,0.3631815314292908,0.33668214082717896,0.8816999793052673,0.8984375,14,0.3804429769515991,1715635181.4101722,0.8897068500518799,6552,6566,False,0.9,0.999,translateW,42,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
36,quiet-sweep-164,{'runtime': 310},311.6010549068451,0.11558620631694794,0.08184543251991272,0.9502000212669371,0.96875,17,0.1465299427509308,1715635197.589932,0.96211439371109,7956,7974,False,0.9,0.999,translateW,41,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
37,visionary-sweep-163,{'runtime': 633},634.3489181995392,0.11050942540168762,0.0815310999751091,0.9526000022888184,0.984375,28,0.14459016919136047,1715634853.0270631,0.9634164571762084,13104,13132,False,0.9,0.999,translateW,41,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
38,resilient-sweep-162,{'runtime': 158},159.57664108276367,0.31951209902763367,0.2623307704925537,0.8913999795913696,0.921875,7,0.33784857392311096,1715634203.535156,0.908645510673523,3276,3283,False,0.9,0.999,translateW,41,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
39,peach-sweep-161,{'runtime': 694},695.7928094863892,0.2253991961479187,0.3953558206558227,0.9186000227928162,0.8671875,38,0.25978565216064453,1715634872.0104244,0.9244458079338074,17784,17823,False,0.9,0.999,translateW,41,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
40,stellar-sweep-160,{'runtime': 491},492.46206974983215,0.09267818182706831,0.05979815125465393,0.9617999792099,0.9765625,22,0.125803604722023,1715634027.8412378,0.9690003991127014,10296,10318,False,0.9,0.999,translateW,40,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
41,ethereal-sweep-159,{'runtime': 685},686.5430016517639,0.1041448935866356,0.12377148121595384,0.96069997549057,0.9609375,37,0.13160395622253418,1715634158.1499827,0.9649605751037598,17316,17354,False,0.9,0.999,translateW,40,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
42,major-sweep-158,{'runtime': 799},800.5133717060089,0.15828131139278412,0.1350366622209549,0.9435999989509584,0.953125,36,0.1795225292444229,1715633519.7993886,0.9488013982772828,16848,16884,False,0.9,0.999,translateW,40,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
43,denim-sweep-157,{'runtime': 600},601.7925236225128,0.22577956318855288,0.2963569760322571,0.9225999712944032,0.9296875,33,0.248902291059494,1715633453.7830906,0.9268412590026855,15444,15478,False,0.9,0.999,translateW,40,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
44,efficient-sweep-156,{'runtime': 515},517.1575162410736,0.08661151677370071,0.17657601833343506,0.9639000296592712,0.9453125,28,0.10939699411392212,1715632838.9977412,0.9710870981216432,13104,13133,False,0.9,0.999,translateW,39,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
45,stellar-sweep-155,{'runtime': 661},662.7894604206085,0.11540332436561584,0.13548560440540314,0.9569000005722046,0.96875,30,0.13545149564743042,1715632703.7837465,0.9622395634651184,14040,14070,False,0.9,0.999,translateW,39,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
46,likely-sweep-154,{'runtime': 397},399.3554813861847,0.2085385620594025,0.16043400764465332,0.9316999912261964,0.9609375,18,0.21625788509845736,1715632026.5708234,0.935621976852417,8424,8442,False,0.9,0.999,translateW,39,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
47,iconic-sweep-153,{'runtime': 645},646.2762548923492,0.2856425940990448,0.3407653570175171,0.9064000248908995,0.875,35,0.288093239068985,1715632306.0385149,0.9093132615089417,16380,16416,False,0.9,0.999,translateW,39,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
48,eager-sweep-152,{'runtime': 476},478.08092498779297,0.09112321585416794,0.041471853852272034,0.961300015449524,0.984375,26,0.11970129609107973,1715631645.339572,0.970168948173523,12168,12195,False,0.9,0.999,translateW,38,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
49,honest-sweep-151,{'runtime': 730},731.2018311023712,0.10352401435375214,0.12329337000846864,0.958199977874756,0.9453125,33,0.12681224942207336,1715631611.6774502,0.9646517634391784,15444,15477,False,0.9,0.999,translateW,38,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
50,good-sweep-150,{'runtime': 491},492.7528941631317,0.18126162886619568,0.06260033696889877,0.9350000023841858,0.9765625,27,0.19734728336334229,1715631151.421925,0.9422743320465088,12636,12664,False,0.9,0.999,translateW,38,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
51,icy-sweep-149,{'runtime': 551},552.7808127403259,0.37176838517189026,0.24074643850326535,0.8733999729156494,0.921875,25,0.3947123885154724,1715630858.188979,0.8839226365089417,11700,11725,False,0.9,0.999,translateW,38,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
52,winter-sweep-148,{'runtime': 597},598.3384017944336,0.08455398678779602,0.08495786041021347,0.963699996471405,0.9765625,27,0.11618487536907196,1715630288.1935308,0.9714125990867616,12636,12663,False,0.9,0.999,translateW,37,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
53,radiant-sweep-147,{'runtime': 757},759.1681945323944,0.09894014149904252,0.07969813793897629,0.9621000289916992,0.96875,42,0.12450643628835678,1715630642.2029195,0.967681646347046,19656,19699,False,0.9,0.999,translateW,37,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
54,dashing-sweep-146,{'runtime': 624},625.9227941036224,0.15138129889965057,0.20093663036823273,0.94760000705719,0.9453125,35,0.16600476205348969,1715629855.4541411,0.9499782919883728,16380,16416,False,0.9,0.999,translateW,37,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
55,jumping-sweep-145,{'runtime': 190},191.83285403251648,0.4128360450267792,0.3999272882938385,0.8651999831199646,0.8828125,10,0.4231663048267365,1715629214.73721,0.8729550838470459,4680,4691,False,0.9,0.999,translateW,37,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
56,serene-sweep-144,{'runtime': 924},925.6866648197174,0.06460180878639221,0.08477962017059326,0.9700999855995178,0.9765625,42,0.10404723137617113,1715629673.2722569,0.9771217107772828,19656,19698,False,0.9,0.999,translateW,36,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
57,eager-sweep-143,{'runtime': 578},580.0809059143066,0.11170891672372818,0.1856626719236374,0.958400011062622,0.9609375,26,0.12980282306671145,1715628728.471702,0.962890625,12168,12194,False,0.9,0.999,translateW,36,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
58,avid-sweep-142,{'runtime': 584},585.6968541145325,0.14923153817653656,0.09720354527235033,0.9470000267028807,0.9765625,32,0.16239246726036072,1715629006.2906082,0.9503706097602844,14976,15009,False,0.9,0.999,translateW,36,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
59,breezy-sweep-141,{'runtime': 290},291.3091037273407,0.49932798743247986,0.3839451670646667,0.8339999914169312,0.8671875,16,0.503487229347229,1715628404.3710296,0.8558109402656555,7488,7505,False,0.9,0.999,translateW,36,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
60,rare-sweep-140,{'runtime': 401},402.9580855369568,0.10836004465818404,0.145938441157341,0.9556999802589417,0.9609375,18,0.13154803216457367,1715628130.4983115,0.9638838768005372,8424,8442,False,0.9,0.999,translateW,35,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
61,dainty-sweep-139,{'runtime': 351},352.14569783210754,0.13308697938919067,0.1121467500925064,0.953499972820282,0.9609375,19,0.14893417060375214,1715628100.4625638,0.9572482705116272,8892,8912,False,0.9,0.999,translateW,35,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,343
62,flowing-sweep-138,{'runtime': 381},382.2586622238159,0.1834511160850525,0.1991732120513916,0.9391999840736388,0.9375,21,0.19025461375713348,1715627733.7261293,0.941481351852417,9828,9850,False,0.9,0.999,translateW,35,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,147
63,glad-sweep-137,{'runtime': 660},661.9865415096283,0.24970555305480957,0.25625234842300415,0.9164000153541564,0.8984375,30,0.2614852786064148,1715627708.5296435,0.91972154378891,14040,14070,False,0.9,0.999,translateW,35,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,49
64,bumbling-sweep-136,{'runtime': 380},381.56361413002014,0.10742629319429398,0.12141187489032744,0.9534000158309937,0.953125,17,0.13499824702739716,1715627031.4963312,0.9647769927978516,7956,7973,False,0.9,0.999,translateW,34,translateH_and_or_W,downsampled_mnist,0,3,60000,True,128,-1,True,True,0,4,0.001,931
